GenusName,Species,CombinedName,Diet,Nesting
Agapostemon,texanus,Agapostemon (Agapostemon) texanus,Polylectic,Below
Andrena,sp.,Andrena (Andrena) sp.,NA,Below
Andrena,palpalis,Andrena (Belandrena) palpalis,NA,Below
Andrena,obscuripostica,Andrena (Dasyandrena) obscuripostica,NA,Below
Andrena,n. sp.,Andrena (Derandrena) n. sp.,NA,Below
Andrena,chalybaea,Andrena (Diandrena) chalybaea,Oligolectic,Below
Andrena,chalybioides,Andrena (Diandrena) chalybioides,Oligolectic,Below
Andrena,cuneilabris,Andrena (Diandrena) cuneilabris,Oligolectic,Below
Andrena,lewisorum,Andrena (Diandrena) lewisorum,Oligolectic,Below
Andrena,subchalybea,Andrena (Diandrena) subchalybea,Oligolectic,Below
Andrena,auricoma,Andrena (Euandrena) auricoma,Polylectic,Below
Andrena,caerulea,Andrena (Euandrena) caerulea,Oligolectic,Below
Andrena,chlorura,Andrena (Euandrena) chlorura,Polylectic,Below
Andrena,misella,Andrena (Euandrena) misella,NA,Below
Andrena,nigrocaerulea,Andrena (Euandrena) nigrocaerulea,Polylectic,Below
Andrena,suavis,Andrena (Euandrena) suavis,Oligolectic,Below
Andrena,subdepressa,Andrena (Euandrena) subdepressa,Oligolectic,Below
Andrena,pulverea,Andrena (Hesperandrena) pulverea,NA,Below
Andrena,cressonii,Andrena (Holandrena) cressonii,Polylectic,Below
Andrena,cerasifolii,Andrena (Melandrena) cerasifolii,Polylectic,Below
Andrena,microchlora,Andrena (Micrandrena) microchlora,Oligolectic,Below
Andrena,ziziae,Andrena (Micrandrena) ziziae,Polylectic,Below
Andrena,plana,Andrena (Scaphandrena) plana,Oligolectic,Below
Andrena,angustitarsata,Andrena (Simandrena) angustitarsata,Polylectic,Below
Andrena,hypoleuca,Andrena (Simandrena) hypoleuca,NA,Below
Andrena,orthocarpi,Andrena (Simandrena) orthocarpi,NA,Below
Andrena,w-scripta,Andrena (Thysandrena) w-scripta,NA,Below
Andrena,salicifloris,Andrena (Trachandrena) salicifloris,Polylectic,Below
Andrena,sp.,Andrena sp.,NA,Below
Andrena,sp. 5,Andrena sp. 5,NA,Below
Andrena,sp. 6,Andrena sp. 6,NA,Below
Andrena,sp. 7,Andrena sp. 7,NA,Below
Andrena,sp. A,Andrena sp. A,NA,Below
Andrena,sp. B,Andrena sp. B,NA,Below
Andrena,sp. C,Andrena sp. C,NA,Below
Andrena,sp. D,Andrena sp. D,NA,Below
Anthidiellum,notatum,Anthidiellum notatum,Polylectic,Above
Anthidiellum,notatum,Anthidiellum notatum robertsoni,Polylectic,Above
Anthophora,urbana,Anthophora (Mystacanthophora) urbana,Polylectic,Below
Anthophora,edwardsii,Anthophora (Pyganthophora) edwardsii,Polylectic,Below
Apis,mellifera,Apis mellifera,NA,NA
Ashmeadiella,aridula,Ashmeadiella (Ashmeadiella) aridula astragali,Polylectic,NA
Ashmeadiella,cactorum,Ashmeadiella (Ashmeadiella) cactorum basalis,Polylectic,Above
Ashmeadiella,californica,Ashmeadiella (Ashmeadiella) californica,Polylectic,Above
Ashmeadiella,difugita,Ashmeadiella (Ashmeadiella) difugita emarginatula,Oligolectic,Above
Ashmeadiella,sp. 1,Ashmeadiella sp. 1,NA,NA
Bombus,rufocinctus,Bombus (Cullumanobombus) rufocinctus,Polylectic,Above
Bombus,californicus,Bombus (Fervidobombus) californicus,Polylectic,Above
Bombus,bifarius,Bombus (Pyrobombus) bifarius,Polylectic,Above
Bombus,flavifrons,Bombus (Pyrobombus) flavifrons,Polylectic,Above
Bombus,melanopygus,Bombus (Pyrobombus) melanopygus,Polylectic,Above
Bombus,melanopygus,Bombus (Pyrobombus) melanopygus edwardsii,Polylectic,Above
Bombus,vosnesenskii,Bombus (Pyrobombus) vosnesenskii,Polylectic,Above
Bombus,sp.,Bombus sp.,Polylectic,Above
Calliopsis,anthidia,Calliopsis anthidia,Oligolectic,Below
Calliopsis,sp.,Calliopsis sp.,NA,NA
Ceratina,acantha,Ceratina (Zadontomerus) acantha,Polylectic,Above
Ceratina,micheneri,Ceratina (Zadontomerus) micheneri,Polylectic,Above
Ceratina,nanula,Ceratina (Zadontomerus) nanula,Polylectic,Above
Ceratina,punctigena,Ceratina (Zadontomerus) punctigena,Polylectic,Above
Ceratina,sequoiae,Ceratina (Zadontomerus) sequoiae,Oligolectic,Above
Ceratina,tejonensis,Ceratina (Zadontomerus) tejonensis,Polylectic,Above
Ceratina,timberlakei,Ceratina (Zadontomerus) timberlakei,Polylectic,Above
Chelostoma,californicum,Chelostoma (Chelostoma) californicum,Oligolectic,Above
Diadasia,bituberculata,Diadasia bituberculata,Oligolectic,Below
Diadasia,nigrifrons,Diadasia nigrifrons,Oligolectic,Below
Diadasia,rinconis,Diadasia rinconis,Oligolectic,Below
Dianthidium,dubium,Dianthidium (Dianthidium) dubium,Polylectic,Above
Dianthidium,pudicum,Dianthidium (Dianthidium) pudicum,NA,Above
Dianthidium,ulkei,Dianthidium (Dianthidium) ulkei ulkei,Oligolectic,Above
Dioxys,pacificus,Dioxys pacificus,Polylectic,Parasitic
Dufourea,sp.,Dufourea sp.,NA,NA
Eucera,actuosa,Eucera (Synhalonia) actuosa,Polylectic,Below
Eucera,cordleyi,Eucera (Synhalonia) cordleyi,Polylectic,Below
Eucera,edwardsii,Eucera (Synhalonia) edwardsii,NA,Below
Eucera,frater,Eucera (Synhalonia) frater albopilosa,Polylectic,Below
Eucera,frater,Eucera (Synhalonia) frater lata,Polylectic,Below
Eucera,lunata,Eucera (Synhalonia) lunata,Polylectic,Below
Eucera,sp.,Eucera sp.,NA,Below
Habropoda,depressa,Habropoda depressa,Polylectic,Below
Habropoda,tristissima,Habropoda tristissima,NA,Below
Halictus,farinosus,Halictus (Halictus) farinosus,Polylectic,Below
Halictus,ligatus,Halictus (Halictus) ligatus,Polylectic,Below
Halictus,rubicundus,Halictus (Halictus) rubicundus,Polylectic,Below
Halictus,tripartitus,Halictus (Seladonia) tripartitus,Polylectic,Below
Heriades,occidentalis,Heriades (Neotrypetes) occidentalis,Polylectic,NA
Hoplitis,hypocrita,Hoplitis (Cyrtosmia) hypocrita,Polylectic,NA
Hylaeus,granulatus,Hylaeus (Hylaeus) granulatus,Polylectic,Above
Hylaeus,mesillae,Hylaeus (Hylaeus) mesillae,Polylectic,Above
Hylaeus,mesillae,Hylaeus (Hylaeus) mesillae cressoni,Polylectic,Above
Hylaeus,polifolii,Hylaeus (Paraprosopis) polifolii,Polylectic,Above
Hylaeus,episcopalis,Hylaeus (Prosopis) episcopalis coquilletti,Polylectic,Above
Hylaeus,modestus,Hylaeus (Prosopis) modestus citrinifrons,Polylectic,Above
Hylaeus,sp.,Hylaeus sp.,Polylectic,NA
Hylaeus,sp. 1,Hylaeus sp. 1,Polylectic,NA
Lasioglossum,incompletus,Lasioglossum (Dialictus) incompletus,NA,Below
Lasioglossum,sp.,Lasioglossum (Dialictus) sp.,NA,Below
Lasioglossum,sp. 1,Lasioglossum (Dialictus) sp. 1,NA,Below
Lasioglossum,tegulariformis,Lasioglossum (Dialictus) tegulariformis,NA,Below
Lasioglossum,sp.,Lasioglossum (Evylaeus) sp.,NA,Below
Lasioglossum,sp. 1,Lasioglossum (Evylaeus) sp. 1,NA,Below
Lasioglossum,sp. 4,Lasioglossum (Evylaeus) sp. 4,NA,Below
Lasioglossum,mellipes,Lasioglossum (Lasioglossum) mellipes,Polylectic,Below
Lasioglossum,olympiae,Lasioglossum (Lasioglossum) olympiae,Polylectic,Below
Lasioglossum,sisymbrii,Lasioglossum (Lasioglossum) sisymbrii,Polylectic,Below
Lasioglossum,titusi,Lasioglossum (Lasioglossum) titusi,Polylectic,Below
Megachile,parallela,Megachile (Argyropile) parallela,Polylectic,NA
Megachile,angelarum,Megachile (Chelostomoides) angelarum,NA,Above
Megachile,occidentalis,Megachile (Chelostomoides) occidentalis,Oligolectic,NA
Megachile,apicalis,Megachile (Eutricharaea) apicalis,Polylectic,Above
Megachile,brevis,Megachile (Litomegachile) brevis,NA,Above
Megachile,coquilletti,Megachile (Litomegachile) coquilletti,Polylectic,Above
Megachile,gentilis,Megachile (Litomegachile) gentilis,Polylectic,NA
Megachile,montivaga,Megachile (Megachile) montivaga,Polylectic,NA
Megachile,fidelis,Megachile (Sayapis) fidelis,NA,NA
Megachile,onobrychidis,Megachile onobrychidis,NA,NA
Megachile,sp.,Megachile sp.,NA,NA
Megachile,sp. 3,Megachile sp. 3,NA,NA
Melecta,edwardsii,Melecta (Melectomimus) edwardsii,Polylectic,NA
Melissodes,lupina,Melissodes (Callimelissodes) lupina,Oligolectic,Below
Melissodes,stearnsi,Melissodes (Callimelissodes) stearnsi,Oligolectic,Below
Melissodes,sp. 7,Melissodes sp. 7,NA,NA
Melissodes,sp. 8,Melissodes sp. 8,NA,NA
Nomada,edwardsii,Nomada (Holonomada) edwardsii,Polylectic,Below
Nomada,sp.,Nomada sp.,Polylectic,Below
Nomada,sp. 1,Nomada sp. 1,Polylectic,Below
Nomada,sp. 10,Nomada sp. 10,Polylectic,Below
Nomada,sp. 2,Nomada sp. 2,Polylectic,Below
Nomada,sp. 3,Nomada sp. 3,Polylectic,Below
Nomada,sp. 4,Nomada sp. 4,Polylectic,Below
Nomada,sp. 5,Nomada sp. 5,Polylectic,Below
Nomada,sp. 6,Nomada sp. 6,Polylectic,Below
Nomada,sp. 8,Nomada sp. 8,Polylectic,Below
Nomada,sp. 9,Nomada sp. 9,Polylectic,Below
Osmia,hurdi,Osmia (Acanthosmioides) hurdi,NA,Above
Osmia,nigrifrons,Osmia (Acanthosmioides) nigrifrons,Oligolectic,Above
Osmia,californica,Osmia (Cephalosmia) californica,NA,Above
Osmia,coloradensis,Osmia (Helicosmia) coloradensis,Oligolectic,Above
Osmia,texana,Osmia (Helicosmia) texana,Oligolectic,Above
Osmia,atrocyanea,Osmia (Melanosmia) atrocyanea,NA,Above
Osmia,caraformis,Osmia (Melanosmia) caraformis,NA,Above
Osmia,cyanella,Osmia (Melanosmia) cyanella,NA,Above
Osmia,densa,Osmia (Melanosmia) densa,Oligolectic,Above
Osmia,gabrielis,Osmia (Melanosmia) gabrielis,NA,Above
Osmia,gaudiosa,Osmia (Melanosmia) gaudiosa,NA,Above
Osmia,granulosa,Osmia (Melanosmia) granulosa,NA,Above
Osmia,laeta,Osmia (Melanosmia) laeta,NA,Above
Osmia,malina,Osmia (Melanosmia) malina,NA,Above
Osmia,nanula,Osmia (Melanosmia) nanula,NA,Above
Osmia,regulina,Osmia (Melanosmia) regulina,NA,Above
Osmia,trevoris,Osmia (Melanosmia) trevoris,NA,Above
Osmia,tristella,Osmia (Melanosmia) tristella,NA,Above
Osmia,nemoris,Osmia (Mystacosmia) nemoris,Polylectic,Above
Osmia,lignaria,Osmia (Osmia) lignaria,Polylectic,Above
Osmia,sp.,Osmia sp.,NA,Above
Osmia,sp. 17,Osmia sp. 17,NA,Above
Osmia,sp. 22,Osmia sp. 22,NA,Above
Osmia,sp. 23,Osmia sp. 23,NA,Above
Osmia,sp. 26,Osmia sp. 26,NA,Above
Osmia,sp. 4,Osmia sp. 4,NA,Above
Osmia,sp. 5,Osmia sp. 5,NA,Above
Osmia,sp. 6,Osmia sp. 6,NA,Above
Osmia,sp. 8,Osmia sp. 8,NA,Above
Osmia,sp. A,Osmia sp. A,NA,Above
Osmia,sp. B,Osmia sp. B,NA,Above
Osmia,sp. L,Osmia sp. L,NA,Above
Panurginus,nigrellus,Panurginus nigrellus,Oligolectic,Below
Panurginus,nigrihirtus,Panurginus nigrihirtus,Oligolectic,Below
Panurginus,occidentalis,Panurginus occidentalis,Oligolectic,Below
Protosmia,rubifloris,Protosmia (Chelostomopsis) rubifloris,NA,Above
Sphecodes,sp.,Sphecodes sp.,Polylectic,Below
Sphecodes,sp. 3,Sphecodes sp. 3,Polylectic,Below
Sphecodes,sp. G1,Sphecodes sp. G1,Polylectic,Below
Stelis,laticincta,Stelis (Dolichostelis) laticincta,Polylectic,Parasitic
Stelis,montana,Stelis montana group montana,Polylectic,Parasitic
Svastra,obliqua,Svastra (Epimelissodes) obliqua expurgata,Oligolectic,Below
Triepeolus,sp. 2,Triepeolus (Triepeolus) sp. 2,Polylectic,NA
Xeromelecta,californica,Xeromelecta (Melectomorpha) californica,Polylectic,Above
Xylocopa,tabaniformis,Xylocopa tabaniformis,Polylectic,Below